iter	Passed	Remaining
0	4	2450
1	9	2293
2	13	2284
3	18	2326
4	23	2312
5	26	2209
6	31	2206
7	36	2249
8	41	2266
9	46	2271
10	51	2305
11	57	2321
12	61	2322
13	67	2326
14	71	2324
15	76	2320
16	81	2308
17	86	2326
18	91	2313
19	95	2301
20	100	2300
21	105	2291
22	109	2278
23	114	2266
24	118	2258
25	123	2253
26	128	2242
27	133	2244
28	137	2239
29	142	2229
30	146	2223
31	153	2241
32	157	2234
33	162	2226
34	168	2235
35	172	2224
36	177	2218
37	183	2228
38	187	2220
39	192	2213
40	197	2210
41	203	2217
42	208	2211
43	212	2203
44	217	2195
45	221	2187
46	226	2179
47	232	2185
48	236	2175
49	240	2166
50	245	2158
51	250	2154
52	254	2147
53	259	2140
54	264	2142
55	270	2141
56	274	2135
57	280	2133
58	284	2126
59	289	2120
60	293	2113
61	298	2112
62	304	2110
63	309	2107
64	314	2102
65	318	2093
66	322	2086
67	328	2084
68	332	2077
69	337	2073
70	342	2071
71	348	2071
72	353	2066
73	358	2061
74	363	2057
75	367	2050
76	372	2046
77	378	2048
78	384	2047
79	389	2043
80	395	2047
81	404	2060
82	410	2060
83	416	2062
84	425	2076
85	431	2079
86	439	2087
87	446	2088
88	453	2093
89	460	2098
90	467	2102
91	473	2101
92	482	2110
93	489	2113
94	496	2114
95	502	2115
96	510	2119
97	517	2124
98	524	2125
99	531	2124
100	539	2133
101	547	2135
102	553	2134
103	560	2132
104	567	2134
105	575	2137
106	582	2139
107	593	2152
108	608	2181
109	622	2206
110	636	2230
111	649	2251
112	663	2273
113	678	2296
114	693	2322
115	708	2346
116	723	2367
117	736	2385
118	749	2400
119	761	2411
120	775	2428
121	786	2436
122	799	2449
123	809	2454
124	822	2466
125	832	2472
126	845	2481
127	856	2487
128	866	2490
129	876	2494
130	891	2512
131	903	2518
132	915	2527
133	926	2530
134	936	2532
135	946	2534
136	956	2533
137	966	2535
138	976	2534
139	987	2538
140	999	2544
141	1012	2553
142	1022	2553
143	1033	2555
144	1043	2555
145	1053	2553
146	1063	2553
147	1073	2552
148	1083	2552
149	1093	2551
150	1103	2550
151	1114	2550
152	1124	2549
153	1133	2547
154	1143	2546
155	1153	2543
156	1163	2542
157	1173	2540
158	1183	2537
159	1193	2536
160	1204	2535
161	1214	2533
162	1224	2531
163	1233	2528
164	1245	2529
165	1256	2528
166	1266	2525
167	1277	2524
168	1286	2520
169	1295	2515
170	1306	2513
171	1317	2511
172	1327	2509
173	1337	2506
174	1347	2502
175	1358	2501
176	1368	2497
177	1378	2493
178	1388	2489
179	1397	2484
180	1407	2481
181	1419	2479
182	1429	2476
183	1440	2473
184	1449	2468
185	1459	2463
186	1469	2459
187	1478	2453
188	1488	2449
189	1498	2444
190	1508	2440
191	1519	2436
192	1528	2431
193	1538	2427
194	1548	2421
195	1558	2417
196	1568	2412
197	1578	2407
198	1588	2402
199	1598	2397
200	1607	2391
201	1618	2387
202	1628	2383
203	1638	2377
204	1647	2371
205	1657	2365
206	1668	2361
207	1678	2357
208	1688	2351
209	1699	2347
210	1709	2340
211	1718	2334
212	1728	2328
213	1737	2322
214	1747	2316
215	1756	2310
216	1767	2304
217	1776	2298
218	1786	2292
219	1797	2287
220	1807	2282
221	1818	2277
222	1829	2272
